console_display,full_title,hymn_key,total_search_results,tune_title,tune_slug,is_relevant,vote_count,total_runs,confidence,reasoning,composer,meter,key,num_hymnals,midi_url,recording_url,pdf_url,hymnary_url,normalized_title,in_hymn_book
AhHoly Jesus,Ah! Holy Jesus,ah_holy_jesus,10,HOLLINGSIDE,hollingside_dykes,False,0,3,high,"The tune HOLLINGSIDE is primarily associated with “Jesus, Lover of My Soul” (search card and 66.8% usage). There is no indication it is used for “Ah! Holy Jesus,” so it is a false positive from the broad title search.",John Bacchus Dykes (1861),7.7.7.7,D Major,308,https://hymnary.org/media/fetch/81787,https://hymnary.org/media/fetch/179400,https://hymnary.org/media/fetch/81788,https://hymnary.org/tune/hollingside_dykes,HOLLINGSIDE,False
AhHoly Jesus,Ah! Holy Jesus,ah_holy_jesus,10,ABERYSTWYTH (Parry),aberystwyth_parry,False,0,3,high,"ABERYSTWYTH (Parry) is also chiefly used with “Jesus, Lover of My Soul” (search card; 50% instances). It is not a recognized setting of “Ah! Holy Jesus,” making it irrelevant here.",Joseph Parry (1879),7.7.7.7 D,d minor,295,https://hymnary.org/media/fetch/80011,https://hymnary.org/media/fetch/222268,https://hymnary.org/media/fetch/80012,https://hymnary.org/tune/aberystwyth_parry,ABERYSTWYTHPARRY,False
DidMy SaviorBleed,Alas! And Did My Savior Bleed,alas_and_did_my_savior_bleed,10,NAOMI (Nägeli),naomi_nageli,True,3,3,medium,"The Hymnary search card explicitly lists it as “used with text: Alas! and did my Saviour bleed?”, and the meter (8.6.8.6) fits the common CM setting of the text. Although Hymnary’s associated-text statistics highlight another primary pairing, it is still a documented setting for this hymn.",,8.6.8.6,D Major,517,https://hymnary.org/media/fetch/81698,https://hymnary.org/media/fetch/157885,https://hymnary.org/media/fetch/81699,https://hymnary.org/tune/naomi_nageli,NAOMINGELI,False
DidMy SaviorBleed,Alas! And Did My Savior Bleed,alas_and_did_my_savior_bleed,10,HUDSON (Hudson 13213),hudson_hudson_13213,True,3,3,high,"This is the well-known gospel tune HUDSON for the refrain hymn “At the Cross,” which is commonly attached to Watts’s “Alas! and did my Savior bleed.” Hymnary shows the text association directly and at very high frequency (83.4%).",R. E. Hudson (1885),8.6.8.6 D,E♭ Major,446,https://hymnary.org/media/fetch/80397,https://hymnary.org/media/fetch/199170,https://hymnary.org/media/fetch/80398,https://hymnary.org/tune/hudson_hudson_13213,HUDSONHUDSON13213,False
DidMy SaviorBleed,Alas! And Did My Savior Bleed,alas_and_did_my_savior_bleed,10,O HOW I LOVE JESUS,o_how_i_love_jesus_13332,True,3,3,medium,"Hymnary lists “Alas, and Did My Savior Bleed” among the associated texts (14.2%), indicating it is an established (though secondary) pairing for this tune. The meter (8.6.8.6 D) can accommodate common doubled-meter uses of the text.",Anonymous,8.6.8.6 D,A♭ Major,371,https://hymnary.org/media/fetch/80142,https://hymnary.org/media/fetch/199000,https://hymnary.org/media/fetch/80143,https://hymnary.org/tune/o_how_i_love_jesus_13332,OHOWILOVEJESUS,False
DidMy SaviorBleed,Alas! And Did My Savior Bleed,alas_and_did_my_savior_bleed,10,[Alas! and did my Savior bleed] (Hull),alas_and_did_my_savior_bleed_hull,True,3,3,high,"The tune title and the search card both directly identify it as a setting of “Alas! And Did My Savior Bleed?”, and Hymnary’s instances show substantial use with that text (43.5%).",Asa Hull (1867),8.6.8.6,F Major,169,https://hymnary.org/media/fetch/110200,https://hymnary.org/media/fetch/186636,https://hymnary.org/media/fetch/110202,https://hymnary.org/tune/alas_and_did_my_savior_bleed_hull,ALASANDDIDMYSAVIORBLEEDHULL,False
DidMy SaviorBleed,Alas! And Did My Savior Bleed,alas_and_did_my_savior_bleed,10,[Alas! and did my Savior bleed?] (55311),alas_and_did_my_savior_bleed_55311,True,3,3,high,"Despite the search card’s “used with text: He Loves Me,” Hymnary’s associated texts and very high instance percentage (85.2%) show it is predominantly used with “Alas, and Did My Savior Bleed,” making it a genuine setting.",,,F Major,133,https://hymnary.org/media/fetch/154167,,,https://hymnary.org/tune/alas_and_did_my_savior_bleed_55311,ALASANDDIDMYSAVIORBLEED55311,False
AllCreatures,All Creatures of Our God and King,all_creatures_of_our_god_and_king,10,TRURO (Williams),truro_williams,False,0,3,high,"The search card lists it as used with “O Lord, you are my God and King,” and the associated texts/percentages point instead to “Lift Up Your Heads, Ye Mighty Gates,” not “All Creatures of Our God and King.” This is a title-keyword false positive.",Charles Burney,8.8.8.8,C Major/E♭ Major,574,https://hymnary.org/media/fetch/82648,https://hymnary.org/media/fetch/222380,https://hymnary.org/media/fetch/82649,https://hymnary.org/tune/truro_williams,TRUROWILLIAMS,False
AllCreatures,All Creatures of Our God and King,all_creatures_of_our_god_and_king,10,LASST UNS ERFREUEN,lasst_uns_erfreuen,True,3,3,high,"The search card explicitly says it is used with “All Creatures of Our God and King,” and the associated texts include that title with a strong instance percentage (36.4%). This is the standard tune for the hymn.",,8.8.4.4.8.8 with refrain,D Major,554,https://hymnary.org/media/fetch/79984,https://hymnary.org/media/fetch/222231,https://hymnary.org/media/fetch/79985,https://hymnary.org/tune/lasst_uns_erfreuen,LASSTUNSERFREUEN,True
AllCreatures,All Creatures of Our God and King,all_creatures_of_our_god_and_king,10,TALLIS' CANON,tallis_canon_11711,False,0,3,high,"It is primarily associated with “All Praise to Thee, My God, This Night” / “An Evening Hymn,” with no indication it is used for “All Creatures of Our God and King.” Same common meter, but no textual association evidence.",Thomas Tallis (c. 1561),8.8.8.8,G Major,413,https://hymnary.org/media/fetch/81101,https://hymnary.org/media/fetch/222454,https://hymnary.org/media/fetch/81102,https://hymnary.org/tune/tallis_canon_11711,TALLISCANON,True
AllCreatures,All Creatures of Our God and King,all_creatures_of_our_god_and_king,10,SINE NOMINE,sine_nomine_vaughan_williams,False,0,3,high,SINE NOMINE is overwhelmingly tied to “For all the Saints” (65.8%) and the search card points to a different text. Its meter (10.10.10.4 with alleluias) does not match “All Creatures…” (8.8.4.4.8.8 with refrain).,Ralph Vaughan Williams (1906),10.10.10.4 with alleluias,F Major/G Major,259,https://hymnary.org/media/fetch/80088,https://hymnary.org/media/fetch/222445,https://hymnary.org/media/fetch/80089,https://hymnary.org/tune/sine_nomine_vaughan_williams,SINENOMINE,True
AllCreatures,All Creatures of Our God and King,all_creatures_of_our_god_and_king,10,O DASS ICH TAUSEND ZUNGEN HÄTTE (König),o_dass_ich_tausend_zungen_hatte_konig,False,0,3,high,"The tune is associated with “O dass ich tausend Zungen hätte / Oh, that I Had a Thousand Voices,” per the search card and associated texts. There is no evidence of use with “All Creatures of Our God and King.”",Johann Balthasar König (1738),9.8.9.8.8.8,E♭ Major,158,https://hymnary.org/media/fetch/81030,https://hymnary.org/media/fetch/205855,https://hymnary.org/media/fetch/81031,https://hymnary.org/tune/o_dass_ich_tausend_zungen_hatte_konig,ODASSICHTAUSENDZUNGENHTTEKNIG,False
GloryLaudHonor,"All Glory, Laud, and Honor",all_glory_laud_and_honor,10,AUSTRIAN HYMN,austrian_hymn_haydn,False,0,3,high,"The tune’s associated texts and usage percentages center on “Glorious Things of Thee Are Spoken,” and the search card links it to “Praise the Lord! Ye Heavens, Adore Him,” not “All Glory, Laud, and Honor.” Meter also does not match the hymn’s usual 7.6.7.6 D.",Joseph Haydn (1797),8.7.8.7 D,E♭ Major,803,https://hymnary.org/media/fetch/80374,https://hymnary.org/media/fetch/222441,https://hymnary.org/media/fetch/80375,https://hymnary.org/tune/austrian_hymn_haydn,AUSTRIANHYMN,False
GloryLaudHonor,"All Glory, Laud, and Honor",all_glory_laud_and_honor,10,ST. THEODULPH (Teschner),st_theodulph_teschner,True,3,3,high,"The search card explicitly says it is used with “All Glory, Laud and Honor,” and the associated texts list that hymn with a strong instance percentage (47%). This is the standard Palm Sunday tune commonly named ST. THEODULPH for this text.",Melchior Teschner (1613),7.6.7.6 D,B♭ Major/C Major,661,https://hymnary.org/media/fetch/80070,https://hymnary.org/media/fetch/222218,https://hymnary.org/media/fetch/80071,https://hymnary.org/tune/st_theodulph_teschner,STTHEODULPHTESCHNER,False
GloryLaudHonor,"All Glory, Laud, and Honor",all_glory_laud_and_honor,10,ROCKINGHAM (Miller),rockingham_miller,False,0,3,high,"ROCKINGHAM is chiefly associated with “When I Survey the Wondrous Cross” (and not this Palm Sunday text), and the search card points to a different text entirely. Its 8.8.8.8 meter also does not fit the typical 7.6.7.6 D of “All Glory, Laud, and Honor.”",,8.8.8.8,D Major/E♭ Major,562,https://hymnary.org/media/fetch/82015,https://hymnary.org/media/fetch/199118,https://hymnary.org/media/fetch/82016,https://hymnary.org/tune/rockingham_miller,ROCKINGHAMMILLER,False
GloryLaudHonor,"All Glory, Laud, and Honor",all_glory_laud_and_honor,10,MUNICH (Mendelssohn),munich_mendelssohn,True,2,3,medium,"The search card lists it as used with “All glory, laud, and honor,” and the meter (7.6.7.6 D) is compatible with the text. Although Hymnary’s associated-text data highlights “O Word of God Incarnate,” MUNICH is a known alternate tune for multiple 7.6.7.6 D texts, including this one.",,7.6.7.6 D,D Major,391,https://hymnary.org/media/fetch/80351,https://hymnary.org/media/fetch/222357,https://hymnary.org/media/fetch/80352,https://hymnary.org/tune/munich_mendelssohn,MUNICHMENDELSSOHN,False
GloryLaudHonor,"All Glory, Laud, and Honor",all_glory_laud_and_honor,10,EBENEZER (Williams),ebenezer_williams,False,0,3,high,"EBENEZER is strongly associated with other texts (e.g., “Once to Every Man and Nation,” “O the Deep, Deep Love of Jesus!”) and not with “All Glory, Laud, and Honor.” Its 8.7.8.7 D meter also differs from the hymn’s usual 7.6.7.6 D.",Thomas John Williams (1890),8.7.8.7 D,f minor,317,https://hymnary.org/media/fetch/80839,https://hymnary.org/media/fetch/198939,https://hymnary.org/media/fetch/80840,https://hymnary.org/tune/ebenezer_williams,EBENEZERWILLIAMS,False
All Hail Power-A,All Hail the Power of Jesus' Name - A,all_hail_the_power_of_jesus_name_-_a,10,MILES LANE (Shrubsole),miles_lane_shrubsole,True,3,3,high,"MILES LANE is a principal, classic tune for this text: the associated_texts explicitly list “All Hail the Power of Jesus' Name,” and the instance percentage is very high (89.9%). The search card’s “And crown him Lord of all” also directly matches this hymn’s refrain.",William Shrubsole (1779),8.6.8 with refrasin,A Major,436,https://hymnary.org/media/fetch/80085,https://hymnary.org/media/fetch/221080,https://hymnary.org/media/fetch/80086,https://hymnary.org/tune/miles_lane_shrubsole,MILESLANESHRUBSOLE,False
All Hail Power-A,All Hail the Power of Jesus' Name - A,all_hail_the_power_of_jesus_name_-_a,10,JOYFUL SONG (Allen),joyful_song_allen,False,0,3,high,JOYFUL SONG is overwhelmingly associated with the different hymn “Praise Him! Praise Him!” (93.5%) and does not list “All Hail the Power of Jesus' Name” among associated texts. This is a clear title-search false positive.,Chester G. Allen (1869),12.10.12.10.11.10.12.10,G Major,310,https://hymnary.org/media/fetch/80145,https://hymnary.org/media/fetch/222368,https://hymnary.org/media/fetch/80146,https://hymnary.org/tune/joyful_song_allen,JOYFULSONGALLEN,False
All Hail Power-A,All Hail the Power of Jesus' Name - A,all_hail_the_power_of_jesus_name_-_a,10,DIADEM (Ellor),diadem_ellor,True,3,3,high,"DIADEM is one of the standard tunes for “All Hail the Power of Jesus' Name,” confirmed by used_with_text naming the hymn and a very high instance percentage (92.1%) with that text.",James Ellor (1838),8.6.6.8 with refrain,A♭ Major,305,https://hymnary.org/media/fetch/80082,https://hymnary.org/media/fetch/222426,https://hymnary.org/media/fetch/80083,https://hymnary.org/tune/diadem_ellor,DIADEMELLOR,False
All Hail Power-A,All Hail the Power of Jesus' Name - A,all_hail_the_power_of_jesus_name_-_a,10,LAUD (Dykes),laud_dykes,True,3,3,medium,"LAUD is explicitly shown on the search card as used with “All hail the power of Jesus' Name,” and the associated_texts include the hymn title. Although the instance percentage is relatively low (16.7%), it is a documented pairing and thus relevant.",John Bacchus Dykes (1862),8.6.8.6,A Major,67,https://hymnary.org/media/fetch/82388,,https://hymnary.org/media/fetch/82389,https://hymnary.org/tune/laud_dykes,LAUDDYKES,False
All Hail Power-A,All Hail the Power of Jesus' Name - A,all_hail_the_power_of_jesus_name_-_a,10,LET US CROWN HIM (McGranahan),let_us_crown_him_mcgranahan,True,3,3,high,"LET US CROWN HIM is directly associated with “All Hail the Power of Jesus' Name” in associated_texts and has a very high instance percentage (92.3%), indicating it is genuinely used as a setting of this hymn text.",James McGranahan (1891),,F Major,26,https://hymnary.org/media/fetch/194043,,,https://hymnary.org/tune/let_us_crown_him_mcgranahan,LETUSCROWNHIMMCGRANAHAN,False
All Hail Power-B,All Hail the Power of Jesus' Name - B,all_hail_the_power_of_jesus_name_-_b,10,MILES LANE (Shrubsole),miles_lane_shrubsole,True,3,3,high,"The tune’s associated texts explicitly include “All Hail the Power of Jesus' Name,” and it shows a very high pairing rate (89.9%). It is also a historically standard tune for this text (“And crown him Lord of all”).",William Shrubsole (1779),8.6.8 with refrasin,A Major,436,https://hymnary.org/media/fetch/80085,https://hymnary.org/media/fetch/221080,https://hymnary.org/media/fetch/80086,https://hymnary.org/tune/miles_lane_shrubsole,MILESLANESHRUBSOLE,False
All Hail Power-B,All Hail the Power of Jesus' Name - B,all_hail_the_power_of_jesus_name_-_b,10,JOYFUL SONG (Allen),joyful_song_allen,False,0,3,high,The search card and associated texts show this tune is overwhelmingly used with “Praise Him! Praise Him!” (93.5%) and not with “All Hail the Power of Jesus' Name.” This is a clear title-search false positive.,Chester G. Allen (1869),12.10.12.10.11.10.12.10,G Major,310,https://hymnary.org/media/fetch/80145,https://hymnary.org/media/fetch/222368,https://hymnary.org/media/fetch/80146,https://hymnary.org/tune/joyful_song_allen,JOYFULSONGALLEN,False
All Hail Power-B,All Hail the Power of Jesus' Name - B,all_hail_the_power_of_jesus_name_-_b,10,DIADEM (Ellor),diadem_ellor,True,3,3,high,"The tune is directly labeled as used with “All Hail the Power of Jesus' Name,” and the associated texts/instance percentage strongly confirm the pairing (92.1%). DIADEM is a well-known alternative tune for this hymn text.",James Ellor (1838),8.6.6.8 with refrain,A♭ Major,305,https://hymnary.org/media/fetch/80082,https://hymnary.org/media/fetch/222426,https://hymnary.org/media/fetch/80083,https://hymnary.org/tune/diadem_ellor,DIADEMELLOR,False
All Hail Power-B,All Hail the Power of Jesus' Name - B,all_hail_the_power_of_jesus_name_-_b,10,LAUD (Dykes),laud_dykes,True,3,3,medium,"Hymnary lists it as used with and associated with “All Hail the Power of Jesus' Name,” indicating a genuine (though less common) pairing. The lower instance percentage (16.7%) suggests it is not the primary association, but it is still a real setting.",John Bacchus Dykes (1862),8.6.8.6,A Major,67,https://hymnary.org/media/fetch/82388,,https://hymnary.org/media/fetch/82389,https://hymnary.org/tune/laud_dykes,LAUDDYKES,False
All Hail Power-B,All Hail the Power of Jesus' Name - B,all_hail_the_power_of_jesus_name_-_b,10,LET US CROWN HIM (McGranahan),let_us_crown_him_mcgranahan,True,3,3,high,"The associated texts include “All Hail the Power of Jesus' Name,” and the instance percentage is very high (92.3%), showing it is commonly used for this text. The title/usage (“Let Us Crown Him”) aligns with the hymn’s refrain theme.",James McGranahan (1891),,F Major,26,https://hymnary.org/media/fetch/194043,,,https://hymnary.org/tune/let_us_crown_him_mcgranahan,LETUSCROWNHIMMCGRANAHAN,False
All People EarthDo,All People That on Earth Do Dwell,all_people_that_on_earth_do_dwell,10,SESSIONS,sessions_emerson,False,0,3,high,"The search card and associated texts show this tune is primarily used for the Doxology text “Praise God from Whom All Blessings Flow,” not “All People That on Earth Do Dwell.” No evidence in associated texts/percentages links it to the Old 100th text.",L. O. Emerson (1847),8.8.8.8,C Major,309,https://hymnary.org/media/fetch/116155,,https://hymnary.org/media/fetch/116157,https://hymnary.org/tune/sessions_emerson,SESSIONS,False
All People EarthDo,All People That on Earth Do Dwell,all_people_that_on_earth_do_dwell,10,EISENACH (Gesius),eisenach_schein,True,3,3,high,"The search card explicitly lists it as used with “Holl bobloedd byd, â llawen floedd (All people that on earth do dwell),” a direct Welsh form of the hymn title/text. That is strong evidence this tune is genuinely associated with the hymn.",Bartholomäus Gesius,8.7.8.7.8.8,D Major,301,https://hymnary.org/media/fetch/81634,https://hymnary.org/media/fetch/205836,https://hymnary.org/media/fetch/81635,https://hymnary.org/tune/eisenach_schein,EISENACHGESIUS,False
All People EarthDo,All People That on Earth Do Dwell,all_people_that_on_earth_do_dwell,10,LOBT GOTT IHR CHRISTEN,lobt_gott_ihr_christen_herman,False,0,3,high,"The search card indicates it is used with “To Thee this temple we devote,” and there are no associated texts or usage data connecting it to “All People That on Earth Do Dwell.” This appears to be a title-keyword false positive.",Nikolaus Herman (1560),8.6.8.6,E♭ Major,241,https://hymnary.org/media/fetch/81067,https://hymnary.org/media/fetch/199490,https://hymnary.org/media/fetch/81068,https://hymnary.org/tune/lobt_gott_ihr_christen_herman,LOBTGOTTIHRCHRISTEN,False
All People EarthDo,All People That on Earth Do Dwell,all_people_that_on_earth_do_dwell,10,WELLS (Holdroyd),wells_holdroyd,True,3,3,medium,"The search card states it is used with “All people that on earth do dwell,” which is direct evidence of relevance, and the meter (8.8.8.8) is compatible with the common Old 100th/Doxology meter. Hymnary’s associated-text list is diffuse, but the explicit ‘used with’ link supports inclusion.",Israel Holdroyd,8.8.8.8,G Major,80,https://hymnary.org/media/fetch/84708,https://hymnary.org/media/fetch/219938,,https://hymnary.org/tune/wells_holdroyd,WELLSHOLDROYD,False
All People EarthDo,All People That on Earth Do Dwell,all_people_that_on_earth_do_dwell,10,[Praise God from whom all blessings flow] (Hatton),praise_god_from_whom_all_blessing_martin,False,0,3,high,"This is overwhelmingly associated with “Praise God from Whom All Blessings Flow” (94.4%) per the instance percentages and search card. There is no indication it is used for “All People That on Earth Do Dwell,” so it is not a genuine setting of that hymn text.",John Warrington Hatton,8.8.8.8,C Major,18,https://hymnary.org/media/fetch/105054,https://hymnary.org/media/fetch/152928,https://hymnary.org/media/fetch/147908,https://hymnary.org/tune/praise_god_from_whom_all_blessing_martin,PRAISEGODFROMWHOMALLBLESSINGSFLOWHATTON,False
AllPraise TheeGod,"All Praise to Thee, My God, This Night",all_praise_to_thee_my_god_this_night,10,LOBE DEN HERREN,lobe_den_herren_115321,False,0,3,high,"LOBE DEN HERREN is overwhelmingly associated with the text “Praise to the Lord, the Almighty” (used_with_text and associated_texts), not with Ken’s evening hymn “All Praise to Thee, My God, This Night.” The meter (14.14.4.7.8) also does not match the usual LM (8.8.8.8) of the Ken text.",Anonymous (1665),14.14.4.7.8,F Major,478,https://hymnary.org/media/fetch/79987,https://hymnary.org/media/fetch/222475,https://hymnary.org/media/fetch/79988,https://hymnary.org/tune/lobe_den_herren_115321,LOBEDENHERREN,True
AllPraise TheeGod,"All Praise to Thee, My God, This Night",all_praise_to_thee_my_god_this_night,10,TALLIS' CANON,tallis_canon_11711,True,3,3,high,"TALLIS’ CANON is a standard Long Meter (8.8.8.8) tune commonly used for Ken’s evening hymn; Hymnary’s search card explicitly links it to “Glory to Thee, My God, This Night,” a close/alternate title for the same text tradition. Its associated texts/percentages (“An Evening Hymn”) align with this usage.",Thomas Tallis (c. 1561),8.8.8.8,G Major,413,https://hymnary.org/media/fetch/81101,https://hymnary.org/media/fetch/222454,https://hymnary.org/media/fetch/81102,https://hymnary.org/tune/tallis_canon_11711,TALLISCANON,True
AllPraise TheeGod,"All Praise to Thee, My God, This Night",all_praise_to_thee_my_god_this_night,10,WINCHESTER OLD,winchester_old_kirbye,False,0,3,high,"WINCHESTER OLD is primarily a Common Meter (8.6.8.6) tune and is most associated here with “While Shepherds Watched their Flocks,” not Ken’s Long Meter evening hymn. The meter mismatch makes it an implausible setting for “All Praise to Thee, My God, This Night.”",,8.6.8.6,F Major,381,https://hymnary.org/media/fetch/80223,https://hymnary.org/media/fetch/222196,https://hymnary.org/media/fetch/80224,https://hymnary.org/tune/winchester_old_kirbye,WINCHESTEROLD,True
AllPraise TheeGod,"All Praise to Thee, My God, This Night",all_praise_to_thee_my_god_this_night,10,SLANE,slane,False,0,3,high,"SLANE is strongly tied to “Be Thou My Vision” and “Lord of All Hopefulness” (used_with_text and associated_texts) and is in 10.10.10.10, not the Long Meter needed for “All Praise to Thee, My God, This Night.” No evidence here connects it to the Ken evening hymn.",Anonymous,10.10.10.10,E♭ Major,288,https://hymnary.org/media/fetch/80535,https://hymnary.org/media/fetch/223212,https://hymnary.org/media/fetch/96246,https://hymnary.org/tune/slane,SLANE,True
